category;question;correct_answer;invalid_answer1;invalid_answer2;invalid_answer3
Кофемолка для альтернативы;#4 Что из перечисленного является кофемолкой для альтернативы;Лабораторная;Кофемолка с контролем времени;Кофемолка с ручным дозатором;Кофемолка с контролем веса
Кофемолка для альтернативы;#5 Что из перечисленного является кофемолкой для альтернативы;Ни одно из перечисленного;Кофемолка с контролем времени;Кофемолка с ручным дозатором;Кофемолка с контролем веса
Кофемолка для альтернативы;#6 Что из перечисленного является кофемолкой для альтернативы;Все перечисленные;Лабораторная;Ручная;Производственная
Экстракция;Недоэкстракт — вкус ...;Кислый, нехватка сладости, солёный;Сладкий, спелый и понятный, богатая кислотность;Горький, сухой, вяжущий
Экстракция;Идеально экстрагированный кофе — вкус ...;Сладкий, спелый и понятный, богатая кислотность;Кислый, нехватка сладости, солёный;Горький, сухой, вяжущий
Экстракция;Переэкстракт — вкус;Горький, сухой, вяжущий;Кислый, нехватка сладости, солёный;Сладкий, спелый и понятный, богатая кислотность
Послевкусие;Послевкусие недоэкстрагированного кофе;Быстрое;Длительное;Пустое
Послевкусие;Послевкусие идеально экстрагированного кофе;Длительное;Быстрое;Пустое
Послевкусие;Послевкусие переэкстрагированного кофе;Пустое;Быстрое;Длительное
Питчеры;Питчер объемом ... со используется для приготовления импрессионист в э/м с низкими рабочими группами;150;600;350;1000
Питчеры;Питчер объемом ... мл используется для взбивания молока для напитков объемом 200-250 мл;350;150;600;1000
Питчеры;Питчер объемом ... мл используется для взбивания молока для напитков 300-500 мл;600;150;350;1000
Пена;Количество пены капучино ... см;1,5;1;2-3;0,5
Пена;Количество пены для американо;0;1;0,5;1,5
Пена;Количество пены латте;1;0,5;2-3;1,5
Пена;Количество пены латте-маккиато;2-3;0,5;1;1,5
Пена;Количество пены раф кофе;1,5;1;0,5;2-3
Пена;Количество пены флэт уайта;0,5;2-3;1,5;1
